7769: T3_MAIN_AXE                                                      : Journeyman's Battleaxe
7770: T4_MAIN_AXE                                                      : Adept's Battleaxe
7771: T4_MAIN_AXE@1                                                    : Adept's Battleaxe
7772: T4_MAIN_AXE@2                                                    : Adept's Battleaxe
7773: T4_MAIN_AXE@3                                                    : Adept's Battleaxe
7774: T4_MAIN_AXE@4                                                    : Adept's Battleaxe
7775: T5_MAIN_AXE                                                      : Expert's Battleaxe
7776: T5_MAIN_AXE@1                                                    : Expert's Battleaxe
7777: T5_MAIN_AXE@2                                                    : Expert's Battleaxe
7778: T5_MAIN_AXE@3                                                    : Expert's Battleaxe
7779: T5_MAIN_AXE@4                                                    : Expert's Battleaxe
7780: T6_MAIN_AXE                                                      : Master's Battleaxe
7781: T6_MAIN_AXE@1                                                    : Master's Battleaxe
7782: T6_MAIN_AXE@2                                                    : Master's Battleaxe
7783: T6_MAIN_AXE@3                                                    : Master's Battleaxe
7784: T6_MAIN_AXE@4                                                    : Master's Battleaxe
7785: T7_MAIN_AXE                                                      : Grandmaster's Battleaxe
7786: T7_MAIN_AXE@1                                                    : Grandmaster's Battleaxe
7787: T7_MAIN_AXE@2                                                    : Grandmaster's Battleaxe
7788: T7_MAIN_AXE@3                                                    : Grandmaster's Battleaxe
7789: T7_MAIN_AXE@4                                                    : Grandmaster's Battleaxe
7790: T8_MAIN_AXE                                                      : Elder's Battleaxe
7791: T8_MAIN_AXE@1                                                    : Elder's Battleaxe
7792: T8_MAIN_AXE@2                                                    : Elder's Battleaxe
7793: T8_MAIN_AXE@3                                                    : Elder's Battleaxe
7794: T8_MAIN_AXE@4                                                    : Elder's Battleaxe
7795: T4_2H_AXE                                                        : Adept's Greataxe
7796: T4_2H_AXE@1                                                      : Adept's Greataxe
7797: T4_2H_AXE@2                                                      : Adept's Greataxe
7798: T4_2H_AXE@3                                                      : Adept's Greataxe
7799: T4_2H_AXE@4                                                      : Adept's Greataxe
7800: T5_2H_AXE                                                        : Expert's Greataxe
7801: T5_2H_AXE@1                                                      : Expert's Greataxe
